"transition_order","from_object","to_object","state_owner","transition_api","transition_ui","transition_collections","audit_trail","timeline","queue","workflow","document_record","downstream_dependencies","verdict","evidence","reason"
"1","Client","Passenger","ClientPassengerRelationship; overlapping ClientPassengerMasterLink","POST /api/agencies/{agency_id}/client-passenger-relationships","ClientDetailPage.jsx via RelationshipEditor.jsx","client_passenger_relationships; overlapping client_passenger_links","audit_events: relationship.created/update/archive","None","None","None","None required","Request passengers; guardian/payer/contact semantics; portal access","PASS WITH WARNINGS","backend/models.py; backend/routers/clients.py; frontend/src/pages/agency/ClientDetailPage.jsx; frontend/src/components/RelationshipEditor.jsx","Governed association exists, but duplicate relationship representations and no operational timeline/workflow remain."
"2","Passenger","Request","TravelRequest plus RequestPassenger snapshot and RequestPassengerSegmentService scope","POST /api/agencies/{agency_id}/requests/builder; POST /api/agencies/{agency_id}/requests/{request_id}/passengers","RequestCreatePage.jsx; RequestDetailPage.jsx","travel_requests; request_passengers; request_segments; requested_services; request_passenger_segment_services","audit_events: request.builder_created; request.passenger_added","request_timeline_events","Eventual AgentWorkQueueService sync to operational_work_items; not atomic","No workflow created in builder transaction","No artifact; request snapshots persist intake truth","Request-trip conversion; services; offer; triage/SLA; portal","PASS WITH WARNINGS","backend/models.py; backend/routers/requests.py; backend/services/agent_work_queue_service.py; frontend/src/pages/agency/RequestCreatePage.jsx","Passenger intake works, but queue and workflow can lag the request transaction."
"3","Request","Trip","RequestTripConversionRun and RequestTripEntityMapping; TripDossier becomes target owner","POST /api/agencies/{agency_id}/request-trip-conversion/preview; /validate; /execute","RequestTripConversionPage.jsx from RequestDetailPage.jsx","request_trip_conversion_plans; request_trip_conversion_runs; request_trip_entity_mappings; request_trip_conversion_issues; trip_dossiers; trip_passengers; trip_segments; trip_service_items","audit_events: trip_created_from_request; actor/source/result snapshots on conversion run","request_timeline_events and trip_timeline_events: request_trip_conversion_executed","Generated tasks synchronize to operational_work_items","operational_workflow_instances and operational_workflow_events","No artifact; downstream final-document-check task","Offers; booking; services; documents; tasks; deadlines","PASS","backend/models.py; backend/routers/agency_request_trip_conversion.py; backend/services/request_to_trip_conversion_service.py; frontend/src/pages/agency/RequestTripConversionPage.jsx","Dedicated guarded, mapped, idempotent handoff with operational evidence."
"4","Trip","Offer","OfferWorkspace and option/routing/segment/fare/pricing children; overlapping OfferWorkspaceV2","POST /api/agencies/{agency_id}/trips/{trip_id}/offer-workspace","TripDetailPage.jsx Create / open offer workspace","offer_workspaces; offer_options; offer_routing_options; offer_segments; offer_fare_bundles; offer_pricing_lines","audit_events: offer_workspace.created","None","None","None","None; offer rendering is later","Comparison; recommendation; pricing; acceptance; booking readiness","PASS WITH WARNINGS","backend/models.py; backend/routers/agency_offer_builder.py; backend/services/offer_builder_service.py; frontend/src/pages/agency/TripDetailPage.jsx","Usable operator handoff, but overlapping models and no timeline/workflow progression."
"5","Offer","Booking","OfferAcceptance plus frozen accepted snapshot; BookingReadinessPackage; OfferBookingHandoff; BookingWorkspace/BookingRecord","POST offer option /accept; POST /api/agencies/{agency_id}/booking-handoffs; /{handoff_id}/assess; /{handoff_id}/create-booking-workspace","OfferWorkspaceDetailPage.jsx; BookingHandoffsPage.jsx","offer_acceptances; trip_accepted_offer_snapshots; booking_readiness_packages; offer_booking_handoffs; offer_booking_handoff_checks; offer_booking_handoff_mappings; booking_execution_instructions; booking_workspaces; booking_records","audit_events: offer_acceptance.accepted; partial actor/snapshot evidence for handoff mutations","operational_timelines and booking timeline records","operational_work_items for booking readiness/creation","operational_workflow_instances and operational_workflow_events","No artifact; document references are readiness inputs","Booking/import; tickets; EMDs; payments; services; documents","PASS WITH WARNINGS","backend/routers/agency_offer_acceptance.py; backend/routers/agency_offer_booking_handoffs.py; backend/services/offer_to_booking_handoff_service.py; frontend/src/pages/agency/OfferWorkspaceDetailPage.jsx","Strong frozen-snapshot handoff, but direct from-readiness booking path can bypass canonical handoff records."
"6","Booking","Ticket","TicketRecord and TicketCoupon; overlapping TicketWorkspace; source split across Booking/BookingRecord/BookingWorkspace","POST /api/agencies/{agency_id}/bookings/{booking_id}/tickets; POST /api/agencies/{agency_id}/tickets/from-booking-record; /tickets/manual","BookingDetailPage.jsx and booking workspace/import pages","ticket_records; ticket_coupons; source bookings or booking_records; overlapping ticket_workspaces","No shared audit_events entry on legacy record-ticket action; actor fields only","booking_timeline_events: booking.ticket_recorded; ticket_emd_timeline_events on newer path","None atomic with ticket recording","None atomic with ticket recording","Ticket receipt can be rendered later; not required at handoff","Coupons; EMDs; documents; readiness; finance; after sales","PASS WITH WARNINGS","backend/models.py; backend/routers/bookings.py; backend/routers/agency_ticket_emd.py; backend/services/ticket_emd_service.py; frontend/src/pages/agency/BookingDetailPage.jsx","Agent can record an externally issued ticket, but ownership and trace are fragmented and provider truth is not reconciled."
"7","Ticket","Passenger Services","No transition owner; PassengerServiceRequest and SsrOsiWorkspace independently own service state","None; service APIs originate from request/trip or parsed booking PNR","None; PassengerServicesPage.jsx is read-only and ticket pages have no service action","None; ticket and service collections only share optional context","None for ticket-service handoff","None","None","PassengerServiceWorkflow may reference both independently but records no transition","None","Airline approval; SSR/OSI; EMD; service documents; airport handling; travel readiness","BROKEN","backend/routers/agency_special_services.py; backend/models.py; frontend/src/pages/agency/PassengerServicesPage.jsx; backend/services/passenger_service_workflow_service.py","No ticket-driven transition exists, and passenger service requirements operationally begin before ticketing."
"8","Passenger Services","Documents","DocumentRenderJob stores HTML/text output; separate DocumentWorkspace owns requirement/verification state and separate RenderedDocument path is not invoked","POST /api/agencies/{agency_id}/documents/context-preview and /render-jobs with source_context_type=service_request","DocumentsPage.jsx; no direct action from PassengerServicesPage.jsx","document_render_jobs; optional document_packages; no rendered_documents or document_workspaces update","Actor/source fields on render job; no shared audit_events entry","None on render-job path","None; missing-document work is not closed","None; service readiness is not advanced","DocumentRenderJob contains source context and rendered output but is not promoted to rendered_documents","Packages; sharing/delivery records; trip/booking document sets; service readiness","PASS WITH WARNINGS","backend/models.py; backend/routers/agency_documents.py; backend/services/document_context_service.py; backend/services/document_render_service.py; frontend/src/pages/agency/DocumentsPage.jsx","Rendering from service context works, but requires manual navigation and does not reconcile the operational document requirement."
"9","Documents","Financial Tracking","No transition owner; Invoice, InvoiceLineItem, and PaymentRecord independently own finance","None; finance records are created before an invoice document may be rendered","None; finance UI creates records and InvoiceDetailPage.jsx may render afterward","None for transition; finance uses invoices, invoice_line_items, payment_records","None for transition; finance actions have their own audit_events","None for transition; finance actions may use booking_timeline_events","None","None","Invoice document is downstream of finance, not its source","Balances; reconciliation; reporting; release blockers; after-sales estimates","BROKEN","backend/models.py; backend/routers/finance.py; frontend/src/pages/agency/InvoiceDetailPage.jsx; frontend/src/pages/agency/DocumentsPage.jsx","No document-to-finance handoff exists; the implemented direction is finance to rendered invoice document."
"10","Financial Tracking","After Sales","AfterSalesCase and AfterSalesFinancialImpact, without invoice/payment mapping","None; POST /api/agencies/{agency_id}/after-sales and /{case_id}/financial-impacts accept manual case data only","AfterSalesPage.jsx manual case and impact entry","None for transition; after_sales_cases; after_sales_case_items; after_sales_financial_impacts; after_sales_decisions; after_sales_resolutions; after_sales_communication_records","No shared audit_events handoff; actor fields on case records","operational_timelines for after-sales activity only","operational_work_items for after-sales case work","operational_workflow_instances and operational_workflow_events for case","Optional document_workspace_ids; no financial settlement document created","Refund/change/claim decisions; client approval; settlement; communications; resolution","BROKEN","backend/models.py; backend/routers/agency_after_sales_workflows.py; backend/services/after_sales_workflow_service.py; frontend/src/pages/agency/AfterSalesPage.jsx; backend/routers/finance.py","After Sales can store estimates but cannot carry or reconcile authoritative invoices, payments, refunds, or credits."
